Date,Price,Open,High,Low,Volume,Chg%
2023-10-04,56229,56280,56367,56205,140,-0.28
2023-10-03,56385,56323,56490,56251,80,-1.18
2023-09-29,57061,57445,57727,56802,340,-0.15
2023-09-28,57146,57675,57788,56674,6960,-1.06
2023-09-27,57759,58466,58478,57662,13130,-1.23
2023-09-26,58478,58656,58700,58454,9340,-0.39
2023-09-25,58707,58860,58948,58674,6480,-0.32
2023-09-22,58896,58800,58948,58721,5380,0.07
2023-09-21,58853,59300,59300,58726,9320,-0.86
2023-09-20,59363,59167,59388,59100,6430,0.17
2023-09-19,59265,59250,59350,59231,2650,0.09
2023-09-18,59212,59079,59225,59056,5050,0.37
2023-09-15,58992,58690,59111,58677,8140,0.66
2023-09-14,58608,58500,58635,58385,6590,0.0
2023-09-13,58610,58576,58726,58527,5100,-0.05
2023-09-12,58642,58999,58999,58576,8320,-0.51
2023-09-11,58941,58932,59120,58902,4160,0.06
2023-09-08,58905,59117,59200,58872,5870,-0.19
2023-09-07,59016,59124,59125,58981,4270,-0.16
2023-09-06,59111,59208,59310,59021,6940,-0.32
2023-09-05,59301,59550,59550,59150,30,-0.14
2023-09-04,59385,59125,59540,59101,90,0.47
2023-09-01,59106,59082,59507,59051,400,-0.01
2023-08-31,59113,59138,59379,59001,200,-0.01
2023-08-30,59117,58832,59164,58830,5370,0.47
2023-08-29,58843,58620,58880,58430,11850,0.59
2023-08-28,58497,58300,58600,58206,8810,0.38
2023-08-25,58273,58383,58520,58171,9060,-0.28
2023-08-24,58436,58448,58533,58261,7110,0.01
2023-08-23,58430,58290,58456,58160,7780,0.36
2023-08-22,58221,58164,58328,58073,6850,0.1
2023-08-21,58164,58110,58320,57992,8850,0.11
2023-08-18,58098,58169,58265,58055,4990,0.12
2023-08-17,58027,58385,58390,58007,8380,-0.66
2023-08-16,58413,58598,58619,58401,5670,-0.43
2023-08-14,58663,58744,58744,58525,4960,0.06
2023-08-11,58629,58582,58741,58487,6650,0.04
2023-08-10,58605,58680,58879,58508,7820,-0.19
2023-08-09,58719,59051,59097,58702,9960,-0.47
2023-08-08,58997,59161,59215,58950,9730,-0.34
2023-08-07,59201,59325,59380,59135,8380,0.13
2023-08-04,59124,59074,59249,59037,20,0.08
2023-08-03,59078,59099,59860,58950,160,-0.07
2023-08-02,59117,59241,59399,59041,130,0.12
2023-08-01,59048,59528,59528,59029,780,-0.97
2023-07-31,59628,59064,59702,59064,4230,0.57
2023-07-28,59288,58989,59335,58910,10910,0.7
2023-07-27,58878,59455,59538,58711,13670,-0.79
2023-07-26,59347,59199,59460,59097,9910,0.38
2023-07-25,59120,59057,59191,58870,8850,0.18
2023-07-24,59013,59188,59234,58967,8039,-0.35
2023-07-21,59221,59460,59500,59110,7400,-0.4
2023-07-20,59459,59750,59842,59338,9930,-0.38
2023-07-19,59683,59650,59739,59505,7000,0.08
2023-07-18,59633,59135,59767,59112,15280,0.97
2023-07-17,59061,59095,59180,58861,8540,-0.28
2023-07-14,59229,59207,59320,59083,7720,0.07
2023-07-13,59185,59150,59325,59050,9300,0.12
2023-07-12,59113,58790,59168,58688,13170,0.64
2023-07-11,58737,58601,58840,58553,8870,0.17
2023-07-10,58635,58690,58720,58390,9830,-0.19
2023-07-07,58747,58396,58898,58313,13140,0.62
2023-07-06,58385,58469,58637,58150,13960,0.13
2023-07-05,58308,58186,58450,58148,120,0.2
2023-07-04,58194,58171,58239,58124,20,0.13
2023-07-03,58119,57979,58205,57830,70,0.17
2023-06-30,58020,57743,58059,57673,440,0.77
2023-06-29,57578,57600,57811,57375,6460,-0.38
2023-06-28,57796,58080,58080,57690,10090,-0.38
2023-06-27,58015,58350,58391,57930,8400,-0.41
2023-06-26,58256,58282,58495,58211,7600,0.12
2023-06-23,58188,58111,58594,58046,10120,0.08
2023-06-22,58144,58553,58644,58111,10480,-0.83
2023-06-21,58630,58702,58762,58326,9890,-0.15
2023-06-20,58721,59064,59238,58555,11770,-0.55
2023-06-19,59043,59126,59260,59005,6090,-0.35
2023-06-16,59249,59250,59427,59156,9350,0.0
2023-06-15,59249,59100,59275,58600,16410,0.0
2023-06-14,59249,59294,59390,59105,11390,0.05
2023-06-13,59222,59680,59800,59151,15370,-0.63
2023-06-12,59595,59680,59850,59484,9120,-0.3
2023-06-09,59777,59805,60040,59676,7820,-0.05
2023-06-08,59809,59550,59950,59410,14350,0.5
2023-06-07,59511,59900,60025,59410,14680,-0.65
2023-06-06,59902,59773,59998,59701,8000,0.16
2023-06-05,59805,59588,60200,59200,40,0.25
2023-06-02,59656,60449,60449,59601,60,-0.63
2023-06-01,60033,60100,60718,59696,350,-0.36
2023-05-31,60252,59868,60368,59834,320,0.68
2023-05-30,59845,58900,59946,58900,3450,0.82
2023-05-29,59358,59450,59599,59250,8790,-0.12
2023-05-26,59430,59570,59690,59301,9040,-0.11
2023-05-25,59493,59752,60000,59411,11030,-0.71
2023-05-24,59918,60288,60395,59797,10440,-0.5
2023-05-23,60220,60033,60271,59774,11250,-0.08
2023-05-22,60271,60485,60510,60140,7430,-0.2
2023-05-19,60389,59748,60492,59748,12690,1.06
2023-05-18,59758,60148,60170,59621,12490,-0.72
2023-05-17,60189,60389,60420,60010,9460,-0.15
2023-05-16,60280,60938,60980,60200,14190,-1.16
2023-05-15,60987,60740,61081,60740,7710,0.24
2023-05-12,60843,60849,61031,60532,14970,-0.07
2023-05-11,60886,61228,61450,60801,18620,-0.52
2023-05-10,61207,61265,61571,60957,16020,-0.25
2023-05-09,61359,60916,61390,60906,11890,0.73
2023-05-08,60916,60750,61042,60750,9010,0.19
2023-05-05,60799,61899,61899,60200,110,-1.43
2023-05-04,61683,61374,61898,61150,180,1.0
2023-05-03,61073,60925,61146,60700,190,0.47
2023-05-02,60787,60050,60861,59900,710,1.35
2023-05-01,59979,60170,60449,59900,1490,-0.13
2023-04-28,60057,59888,60124,59741,7030,0.24
2023-04-27,59913,60100,60248,59605,9710,0.11
2023-04-26,59849,60085,60300,59805,10020,-0.46
2023-04-25,60123,59980,60195,59701,11510,0.33
2023-04-24,59928,59652,59978,59575,8500,0.2
2023-04-21,59810,60311,60373,59565,17110,-0.96
2023-04-20,60389,59932,60549,59932,10300,0.36
2023-04-19,60172,60323,60384,59627,17270,-0.26
2023-04-18,60331,60050,60499,60007,11380,0.47
2023-04-17,60051,60050,60444,59764,13500,-0.16
2023-04-14,60145,60986,60986,59918,14070,-1.38
2023-04-13,60987,60498,61142,60461,14930,0.97
2023-04-12,60404,60390,60822,60151,14070,0.2
2023-04-11,60281,59980,60350,59961,9790,0.69
2023-04-10,59867,60012,60200,59730,10300,-0.68
2023-04-06,60276,60500,60580,60075,10850,-0.15
2023-04-05,60366,60599,60949,60100,350,-0.11
2023-04-04,60435,59558,60625,59558,160,1.4
2023-04-03,59600,59750,59760,59031,290,0.48
2023-03-31,59314,59312,59670,59247,890,-0.13
2023-03-30,59389,59044,59456,58891,2690,0.66
2023-03-29,58997,58899,59089,58665,8700,0.02
2023-03-28,58986,58657,59051,58463,8910,0.84
2023-03-27,58496,59257,59257,58401,12460,-1.23
2023-03-24,59226,59410,59892,59141,15160,-0.35
2023-03-23,59436,58769,59490,58769,13200,1.28
2023-03-22,58684,58515,58772,58380,10090,0.28
2023-03-21,58520,59472,59632,58474,16820,-1.52
2023-03-20,59424,59317,60320,59120,24580,0.33
2023-03-17,59231,58250,59295,58066,16730,2.22
2023-03-16,57942,58186,58430,57800,14100,-0.55
2023-03-15,58263,57420,58557,57015,20000,1.47
2023-03-14,57417,57001,57678,57000,11660,-0.21
2023-03-13,57539,56216,57600,56216,18780,2.56
2023-03-10,56101,55257,56147,55253,13840,1.5
2023-03-09,55272,54987,55395,54819,9130,0.58
2023-03-08,54955,55010,55140,54888,7210,-0.22
2023-03-07,55077,55655,55677,55050,7900,-1.21
2023-03-06,55752,55605,55986,55605,6390,-0.23
2023-03-03,55879,55999,56029,55710,60,-0.06
2023-03-02,55915,55935,56050,55100,170,-0.24
2023-03-01,56047,55990,56144,55799,110,0.6
2023-02-28,55714,55549,55999,55325,380,0.48
